Case Number,Date,Primary Type,Description,Location Description,Arrest,Domestic,FBI Code,Location,Time,Seconds,Hour,NEW LOCATION,Latitude,Longitude,simple location
HY413280,9/6/2015 13:45,BURGLARY,UNLAWFUL ENTRY,APARTMENT,FALSE,FALSE,5,"(41.891135724, -87.628049777)",1:45:00,0,1, Near North Side,41.89113572,-87.62804978,Upper Town
HY413371,9/6/2015 14:00,BURGLARY,UNLAWFUL ENTRY,APARTMENT,FALSE,FALSE,5,"(41.928617929, -87.739926481)",2:00:00,0,2, Beat 2521,41.92861793,-87.73992648,Upper Town
HY413413,9/6/2015 23:16,BATTERY,DOMESTIC BATTERY SIMPLE,CHA APARTMENT,TRUE,TRUE,08B,"(41.655809772, -87.603855228)",11:16:00,0,11, Altgeld Gardens,41.65580977,-87.60385523,Lower Town
HY413318,9/6/2015 21:12,BATTERY,AGGRAVATED: OTHER DANG WEAPON,STREET,TRUE,FALSE,04B,"(41.937963778, -87.814513287)",9:12:00,0,9, Dunning,41.93796378,-87.81451329,Upper Town
HY413395,9/6/2015 14:00,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,FALSE,FALSE,14,"(41.708099997, -87.621747919)",2:00:00,0,2, Roseland,41.7081,-87.62174792,East Side
HY413364,9/6/2015 22:21,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,FALSE,FALSE,14,"(41.691579678, -87.631204207)",10:21:00,0,10, Roseland,41.69157968,-87.63120421,East Side
HY413397,9/6/2015 23:30,CRIMINAL DAMAGE,TO VEHICLE,DRIVEWAY - RESIDENTIAL,FALSE,TRUE,14,"(41.898225466, -87.72006447)",11:30:00,0,11, Humboldt Park,41.89822547,-87.72006447,West Side
HY413346,9/6/2015 20:30,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,08B,"(41.878798552, -87.731398505)",8:30:00,0,8, West Garfield Park,41.87879855,-87.73139851,West Side
HY413410,9/7/2015 0:09,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,TRUE,FALSE,18,"(41.780332016, -87.683670856)",12:09:00,0,12, Chicago Lawn,41.78033202,-87.68367086,Middle City
HY413345,9/6/2015 23:04,ROBBERY,ARMED: HANDGUN,SIDEWALK,TRUE,FALSE,3,"(41.899490636, -87.626947718)",11:04:00,0,11, Near North Side,41.89949064,-87.62694772,Upper Town
HY413434,9/7/2015 0:28,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,TRUE,TRUE,08B,"(41.783825507, -87.698397296)",12:28:00,0,12, Chicago Lawn,41.78382551,-87.6983973,Middle City
HY413312,9/6/2015 16:30,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,7,"(41.88014158, -87.668409463)",4:30:00,0,4, Near West Side,41.88014158,-87.66840946,Upper Town
HY413441,9/7/2015 1:00,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,TRUE,14,"(41.765162688, -87.624896894)",1:00:00,0,1, Greater Grand Crossing,41.76516269,-87.62489689,Middle City
HY413386,9/6/2015 23:30,ASSAULT,SIMPLE,RESIDENTIAL YARD (FRONT/BACK),FALSE,TRUE,08A,"(41.765209455, -87.628037736)",11:30:00,0,11, Greater Grand Crossing,41.76520946,-87.62803774,Middle City
HY413417,9/7/2015 0:19,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,TRUE,FALSE,18,"(41.827150729, -87.682922544)",12:19:00,0,12, McKinley Park,41.82715073,-87.68292254,Middle City
HY413414,9/7/2015 0:25,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,08B,"(41.759806115, -87.640243448)",12:25:00,0,12, Englewood,41.75980612,-87.64024345,Lower Town
HY413373,9/6/2015 23:03,NARCOTICS,POSS: PCP,STREET,TRUE,FALSE,18,"(41.778271873, -87.694584158)",11:03:00,0,11, Chicago Lawn,41.77827187,-87.69458416,Middle City
HY413349,9/6/2015 22:50,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,TRUE,TRUE,08B,"(41.951657318, -87.809648921)",10:50:00,0,10, Dunning,41.95165732,-87.80964892,Upper Town
HY413428,9/6/2015 15:30,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,FALSE,FALSE,5,"(41.717638272, -87.569857762)",3:30:00,0,3, South Deering,41.71763827,-87.56985776,East Side
HY413398,9/6/2015 23:50,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,FALSE,FALSE,5,"(41.71831357, -87.574029088)",11:50:00,0,11, South Deering,41.71831357,-87.57402909,East Side
HY413369,9/6/2015 23:30,BURGLARY,FORCIBLE ENTRY,RESIDENCE,FALSE,FALSE,5,"(41.718851241, -87.572751737)",11:30:00,0,11, South Deering,41.71885124,-87.57275174,East Side
HY413301,9/6/2015 21:50,CRIMINAL DAMAGE,TO PROPERTY,OTHER,FALSE,FALSE,14,"(41.818908318, -87.696392655)",9:50:00,0,9, Brighton Park,41.81890832,-87.69639266,Lower Town
HY413423,9/6/2015 20:30,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,6,"(41.811741323, -87.669913344)",8:30:00,0,8, New City,41.81174132,-87.66991334,Middle City
HY413419,9/7/2015 0:15,ROBBERY,ARMED: HANDGUN,SIDEWALK,FALSE,FALSE,3,"(41.876146577, -87.642479788)",12:15:00,0,12, Near West Side,41.87614658,-87.64247979,Upper Town
HY413456,8/28/2015 8:00,THEFT,$500 AND UNDER,RESIDENCE,FALSE,FALSE,6,"(41.764150966, -87.596680271)",8:00:00,0,8, Greater Grand Crossing,41.76415097,-87.59668027,Middle City
HY413469,9/7/2015 1:30,ASSAULT,SIMPLE,SIDEWALK,TRUE,FALSE,08A,"(41.903935719, -87.6290881)",1:30:00,0,1, Near North Side,41.90393572,-87.6290881,Upper Town
HY413424,9/7/2015 0:30,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,FALSE,FALSE,3,"(41.79189192, -87.632926845)",12:30:00,0,12, Englewood,41.79189192,-87.63292685,Lower Town
HY413452,9/7/2015 0:52,NARCOTICS,MANU/DELIVER:CRACK,STREET,TRUE,FALSE,18,"(41.764349116, -87.57483544)",12:52:00,0,12, Bryn Mawr East,41.76434912,-87.57483544,Upper Town
HY413316,9/6/2015 21:52,ROBBERY,ARMED: HANDGUN,SIDEWALK,FALSE,FALSE,3,"(41.873437597, -87.726433247)",9:52:00,0,9, West Garfield Park,41.8734376,-87.72643325,West Side
HY413463,9/7/2015 0:00,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,6,"(41.766292724, -87.570787736)",12:00:00,0,12, South Shore,41.76629272,-87.57078774,Lower Town
HY413362,9/5/2015 17:00,BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,APARTMENT,FALSE,TRUE,04B,"(41.773352763, -87.670133114)",5:00:00,0,5, West Englewood,41.77335276,-87.67013311,Lower Town
HY413458,9/7/2015 0:11,WEAPONS VIOLATION,UNLAWFUL USE HANDGUN,ALLEY,FALSE,FALSE,15,"(41.866475734, -87.772933914)",12:11:00,0,12, The Island,41.86647573,-87.77293391,Upper Town
HY413359,9/6/2015 21:30,BATTERY,SIMPLE,CTA BUS,FALSE,FALSE,08B,"(41.880744662, -87.764873772)",9:30:00,0,9, Austin,41.88074466,-87.76487377,West Side
HY413305,9/6/2015 9:00,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,TRUE,TRUE,08B,"(41.754868733, -87.673266386)",9:00:00,0,9, Auburn Gresham,41.75486873,-87.67326639,Lower Town
HY413422,9/6/2015 23:50,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,FALSE,FALSE,3,"(41.886818932, -87.726504928)",11:50:00,0,11, West Garfield Park,41.88681893,-87.72650493,West Side
HY413481,9/6/2015 22:00,ROBBERY,ARMED: OTHER DANGEROUS WEAPON,SIDEWALK,FALSE,FALSE,3,"(41.79524448, -87.662187928)",10:00:00,0,10, New City,41.79524448,-87.66218793,Middle City
HY413470,9/7/2015 1:40,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,TRUE,14,"(41.883209435, -87.764962093)",1:40:00,0,1, Austin,41.88320944,-87.76496209,West Side
HY413471,9/7/2015 1:30,BATTERY,AGGRAVATED: OTHER DANG WEAPON,SIDEWALK,FALSE,TRUE,04B,"(41.874959727, -87.74631634)",1:30:00,0,1, Austin,41.87495973,-87.74631634,West Side
HY413446,9/6/2015 23:29,INTERFERENCE WITH PUBLIC OFFICER,RESIST/OBSTRUCT/DISARM OFFICER,PARK PROPERTY,TRUE,FALSE,24,"(41.818948552, -87.626336787)",11:29:00,0,11, Grand Boulevard,41.81894855,-87.62633679,Middle City
HY413482,9/6/2015 23:30,INTERFERENCE WITH PUBLIC OFFICER,RESIST/OBSTRUCT/DISARM OFFICER,STREET,TRUE,FALSE,24,"(41.86692722, -87.715436748)",11:30:00,0,11, North Lawndale,41.86692722,-87.71543675,West Side
HY413474,9/7/2015 0:04,CRIMINAL TRESPASS,TO LAND,"SCHOOL, PRIVATE, BUILDING",TRUE,FALSE,26,"(41.998221801, -87.657480435)",12:04:00,0,12, Rogers Park,41.9982218,-87.65748044,Upper Town
HY413402,9/7/2015 0:08,BATTERY,AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST,RESIDENCE,TRUE,TRUE,04B,"(41.741987981, -87.567301243)",12:08:00,0,12, South Chicago,41.74198798,-87.56730124,East Side
HY413450,9/7/2015 0:45,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,SIDEWALK,TRUE,FALSE,15,"(41.763862627, -87.668647376)",12:45:00,0,12, West Englewood,41.76386263,-87.66864738,Lower Town
HY413341,9/6/2015 22:35,ASSAULT,SIMPLE,SIDEWALK,FALSE,TRUE,08A,"(41.78559336, -87.621694669)",10:35:00,0,10, Washington Park,41.78559336,-87.62169467,Middle City
HY413350,9/6/2015 22:15,ASSAULT,SIMPLE,RESIDENTIAL YARD (FRONT/BACK),FALSE,FALSE,08A,"(41.856020451, -87.712689598)",10:15:00,0,10, North Lawndale,41.85602045,-87.7126896,West Side
HY413432,9/7/2015 0:00,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,FALSE,FALSE,3,"(41.850510185, -87.713744886)",12:00:00,0,12, South Lawndale,41.85051019,-87.71374489,Lower Town
HY413314,9/6/2015 14:30,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,FALSE,FALSE,5,"(41.852535656, -87.72352562)",2:30:00,0,2, North Lawndale,41.85253566,-87.72352562,West Side
HY413407,9/7/2015 0:04,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,FALSE,TRUE,08B,"(41.80860717, -87.633350017)",12:04:00,0,12, Fuller Park,41.80860717,-87.63335002,Middle City
HY413383,9/6/2015 16:00,BURGLARY,UNLAWFUL ENTRY,APARTMENT,FALSE,FALSE,5,"(41.756094931, -87.644659401)",4:00:00,0,4, Auburn Gresham,41.75609493,-87.6446594,Lower Town
HY413370,9/6/2015 23:37,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,08B,"(41.738855559, -87.649775405)",11:37:00,0,11, Auburn Gresham,41.73885556,-87.64977541,Lower Town
HY413332,9/6/2015 20:30,BURGLARY,FORCIBLE ENTRY,RESIDENCE,FALSE,FALSE,5,"(41.755481563, -87.649019949)",8:30:00,0,8, Auburn Gresham,41.75548156,-87.64901995,Lower Town
